query,network_distribution,runtime
q46-v1.4,A,62.906479188
q46-v1.4,A,68.53609221500001
q46-v1.4,A,62.755934868999994
q46-v1.4,A,96.939511812
q46-v1.4,A,63.277099723
q46-v1.4,A,65.63159818400001
q46-v1.4,A,73.88555305
q46-v1.4,A,61.945582019999996
q46-v1.4,A,69.358275002
q46-v1.4,A,52.22121208800001
q46-v1.4,A,53.094382115
q46-v1.4,A,57.049979891999996
q46-v1.4,A,80.68273010000001
q46-v1.4,A,62.997912083
q46-v1.4,A,57.465231588
q46-v1.4,A,85.553395198
q46-v1.4,A,56.547721786000004
q46-v1.4,A,76.76931700899999
q46-v1.4,A,71.462357133
q46-v1.4,A,53.706156658999994
q46-v1.4,A,61.80884459
q46-v1.4,A,73.459005082
q46-v1.4,A,64.928672363
q46-v1.4,A,52.887001215
q46-v1.4,A,61.192356929
q46-v1.4,A,58.325303907999995
q46-v1.4,A,72.044156924
q46-v1.4,A,66.526628505
q46-v1.4,A,65.089908497
q46-v1.4,A,67.194918778
q46-v1.4,A,54.61901843000001
q46-v1.4,A,61.093871889
q46-v1.4,A,64.642799972
q46-v1.4,A,53.94860006599999
q46-v1.4,A,63.155563289
q46-v1.4,A,69.243106553
q46-v1.4,A,57.513355182
q46-v1.4,A,75.165184789
q46-v1.4,A,56.898866926
q46-v1.4,A,67.489993061
q46-v1.4,A,66.133297276
q46-v1.4,A,47.98146355399999
q46-v1.4,A,95.138166438
q46-v1.4,A,107.834995804
q46-v1.4,A,65.02426681099999
q46-v1.4,A,51.228593968
q46-v1.4,A,64.395991387
q46-v1.4,A,64.60355084999999
q46-v1.4,A,71.403036748
q46-v1.4,A,64.459745139
q46-v1.4,B,32.573361709000004
q46-v1.4,B,30.10204094
q46-v1.4,B,31.567106674999998
q46-v1.4,B,27.788355688
q46-v1.4,B,25.946383264
q46-v1.4,B,32.207305055999996
q46-v1.4,B,28.750348639
q46-v1.4,B,25.601587527000003
q46-v1.4,B,28.051953377
q46-v1.4,B,29.269346829000003
q46-v1.4,B,25.230457158
q46-v1.4,B,26.998302758
q46-v1.4,B,26.704807443999997
q46-v1.4,B,28.251054386
q46-v1.4,B,30.379887196000002
q46-v1.4,B,24.298686276000005
q46-v1.4,B,28.685287674
q46-v1.4,B,25.146213833999997
q46-v1.4,B,26.764520317
q46-v1.4,B,28.468967221
q46-v1.4,B,30.877356355
q46-v1.4,B,26.843915733000003
q46-v1.4,B,26.753249197000002
q46-v1.4,B,27.823288629000004
q46-v1.4,B,27.805114982
q46-v1.4,B,28.078882703
q46-v1.4,B,29.453548650000002
q46-v1.4,B,29.211386333000004
q46-v1.4,B,24.091851196
q46-v1.4,B,24.473146139999997
q46-v1.4,B,28.012865343
q46-v1.4,B,27.603393895
q46-v1.4,B,33.662243962999995
q46-v1.4,B,28.145506939
q46-v1.4,B,26.971293298
q46-v1.4,B,24.372135090000004
q46-v1.4,B,26.051773047
q46-v1.4,B,30.982461162
q46-v1.4,B,26.954664135
q46-v1.4,B,26.226322136000004
q46-v1.4,B,29.29481641
q46-v1.4,B,28.707803109
q46-v1.4,B,26.902033169000003
q46-v1.4,B,25.13788774
q46-v1.4,B,24.785629844
q46-v1.4,B,27.913733043
q46-v1.4,B,27.663388624
q46-v1.4,B,27.508573241999997
q46-v1.4,B,23.898629056999997
q46-v1.4,B,27.291679585
q46-v1.4,C,25.257764393000002
q46-v1.4,C,23.003797595000005
q46-v1.4,C,20.020951545000003
q46-v1.4,C,23.196188667
q46-v1.4,C,19.618934924999998
q46-v1.4,C,19.610157723
q46-v1.4,C,19.542067088
q46-v1.4,C,21.597821539
q46-v1.4,C,21.136558074
q46-v1.4,C,19.398555925999997
q46-v1.4,C,19.542055262999998
q46-v1.4,C,20.956386076999998
q46-v1.4,C,20.175430946
q46-v1.4,C,20.462781730000003
q46-v1.4,C,18.869080520000008
q46-v1.4,C,20.791045386
q46-v1.4,C,21.588559622000002
q46-v1.4,C,20.830823396
q46-v1.4,C,22.393417551
q46-v1.4,C,19.710693306000003
q46-v1.4,C,21.473289254999997
q46-v1.4,C,21.569632563
q46-v1.4,C,19.308807905000002
q46-v1.4,C,22.115646527
q46-v1.4,C,20.637419406999996
q46-v1.4,C,19.929669916
q46-v1.4,C,19.594393789
q46-v1.4,C,20.566007511999995
q46-v1.4,C,21.072822242999997
q46-v1.4,C,20.767045589000002
q46-v1.4,C,20.619739759999998
q46-v1.4,C,20.060089406
q46-v1.4,C,19.913658928
q46-v1.4,C,21.353786012
q46-v1.4,C,22.649180891
q46-v1.4,C,21.474804601999995
q46-v1.4,C,22.281008092
q46-v1.4,C,22.437255418999996
q46-v1.4,C,19.530001873000003
q46-v1.4,C,23.045570431999998
q46-v1.4,C,20.786717351
q46-v1.4,C,21.166050595999998
q46-v1.4,C,21.82754633
q46-v1.4,C,20.090785444999998
q46-v1.4,C,20.232359672999998
q46-v1.4,C,21.238617692
q46-v1.4,C,22.853378412
q46-v1.4,C,22.89728972
